Question,Answer
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING FOR WEATHER ?,CHANCES OF SHOWERS ON 7 APRIL.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY NO CHANCE OF RAINFALL .
INFORMATION REGARDING TO WEATHER?,chances of rainfall 7 aprail
INFORMATION REGARDING FOR WEATHER ?,WEATHER REMAIN SOME CLOUDY AND CHANCES OF SHOWERS ON 7 APRIL IN AMRITSAR.
Information regarding weather of Amritsar?,"Partly sunny, no chance of rainfall."
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY NO CHANCE OF RAINFALL .
INFORMATION REGARDING FOR WEATHER ?,TODAY NO CHANCES OF RAIN IN AMRITSAR.
INFORMATION REGARDING TO WEATHER?,CHANCES OF RAIN IN COMING DAYS
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN BERSEEM ?,SPRAY AUVANT @ 200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING FOR THE AVERAGE YIELD OF PUSA BASMATI 1509 ?,AVRAGE YIELD OF PUSA BASMATI IS 15.7 Q/ACRE.
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS CLOUDY NO CHANCE OF RAINFALL .
which variety of sorghum we can grow,sl44 variety of sorghum we can grow
information regarding weather of amritsar?,chances of rainfall on 7 april
Information regarding how to control Yellow Rust in wheat?,Spray 200 ml. Tilt /Folicur in 200 lt. of water per acre.
information regarding weather?,some clouds and some chances of rainfall on Sunday .
Information regarding how to control Yellow Vein Mosaic Virus in Bhindi?,Spray 560 ml. Malathion in 100-125 lt. of water per acre.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT NEXED TWO DAYS CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING FOR CONTROL OF CATERPILAR IN TOMATO ?,SPRAY PROCLAIM @ 180-200 ML IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING TO WEATHER?,TODAY THERE ARE CHANCES OF RAIN
INFORMATION REGARDING WEATHER FORECAST?,weather remains cloudy .
INFORMATION REGARDING FOR THE FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP?,"FERTILIZER DOSE AT THE TIME OF SOWING OF MAIZE CROP IS-DAP-55KG ,MOP-20KG & UREA-30KG/ACRE."
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS NO CHANCE OF RAIN.
HOW TO CONTROL LEAF CURL IN TOMATO CROP ?,SPRAY TO ROGOR @ 250 ML IN 80-100 LITER OF WATER / ACRE .
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
CONTROL OF PURPLE BLOTCH IN ONION?,APPLICATION OF 600GM INDOFIL M-45 IN 200LT WATER/ACRE.
INFORMATION REGARDING PAU?,0161-2411960
INFORMATION REGARDING FOR CONTROL OF STEM ROT IN BERSEEM ?,SPRAY SIXER @ 500 GM IN 200 LITRE WATER/ACRE.
WHAT IS UREA REQUIREMENT OF PEACH TREE OF AGE 7-9 YEARS?,700-900 GM UERA/TREE.
information regarding weather ?,some clouds and no chances of rainfall .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND NO CHANCE OF RAIN FALL TODAY.
INFORMATION REGARDING FOR THE CURRENT WEATHER CONDIITON?,"Mostly cloudy with a couple of thunderstorms
 
 -07-04-2014."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT TOW TODAY.
Information regarding weather of Amritsar?,"Warmer with some sunshine giving way to cloudy skies, no chance of rainfall."
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT NEXED TWO DAYS CHANCE OF LIGHT RAIN FALL.
Information regarding how to control Gram Caterpillras in Barseem?,Spray 200 ml. Indoxacarb 15.8%EC in 100 lt. of water per acre.
information regarding stopping fruit dropping in citrus plants ?,SPRAY PLANOFIX 1 ML IN 4.5 LITRE OF WATER
INFORMATION REGARDING THE CONTROL OF CATTERPILLAR IN BARSEEM IN BARSEEM?,SPRAY 50ML CORAGEN IN 100 LTR WATER.
INFORMATION REGARING WEATHER CONDITION ?,THE WEATHER CONDITION MOSTLY CLODY BUT NEXED TWO DAYS CHANCE OF LIGHT RAIN FALL.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT TOW TODAY.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-123,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING CONTROL OF APHID IN WHEAT?,SPRAY CONFIDOR ( IMIDACLOPRID) 100 ML @ 100 LITERS WATER/ACRE.
Information regarding weather of Amritsar?,"Cloudy, no chance of rainfall."
INFORMATION REGARDING CATERPILLAR IN BERSEEM ?,SPRAY EKALUX 400 ML IN 100 LITRE OF WATER PER ACRE
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 80GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING VARIETY OF PADDY ?,"PR 121,PR 122,PR 123, PUNJAB BASMATI 1509,PUSA BASMATI 1121"
INFORMATION REGARDING FOR CONTROL OF BLIGHT IN CITRUS ?,SPRAY BLITOX @ 3 GM IN 1 LITRE WATER.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF OKRA(BHINDI)?,"SUITABLE VARIETIES OF OKRA(BHINDI) IS-PUNJAB-8(55Q/ACRE),OH-016,OH-152,HYBRID NO.-3,HYBRID NO.-18,PUSA SAVANI.PUNJAB-7(45Q/ACRE)"
INFORMATION REGARDING VARIETIES OF JHONA?,"PR-123,PR-122,PR-121."
information regarding collect the changi kheti?,I have to the contact no-0161 - 2401960.
INFORMATION REGARDING FOR WEATHER,chances of rain in next two days
INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROP?,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
INFORMATION REGARDING IMPROVED VARIETIES OF BASMATI RICE ?,"BASMATI-386,PUSA BASMATI NO-1,BASMATI-370,PUSA BASMATI-1121,PUNJAB MEHAK-1,PUNJAB BASMATI-2."
INFORMATION REGARDING FOR THE CONTROL OF ARMY WORM ATTACK ON SPRING MAIZE(BAHAR RUT DI MAKKI) CROP?,"FOR THE CONTROL OF ARMY WORM ATTACK ON SPRING MAIZE(BAHAR RUT DI MAKKI) CROP,SPRAY 250ML CYPERMETHRIN 25%EC MIXED WITH 150LITRE WATER PER ACRE."
information regarding weather of amritsar?,rainfall expected in next few days.
INFORMATION REGARDING WEATHER OF AMRITSAR?,TODAY IS SOME CHANCE OF RAIN
Information regarding varieties of Lemon?,"Punjab Baramasi Lemon, Kagzi."
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN.
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN.
Information regarding weather of Amritsar?,"Some clouds, chances of rainfall and thunderstorms."
information regarding weather ?,some clouds and some chances of rainfall .
Information regarding for wather ?,some clouds and chance of rain
INFORMATION REGARDING CONTROL OF FLOWER DROP IN CHEK PEA?,SPRAY 1 ML PLANOFIX / 4.5 LITER WATER
INFORMATION REGARDING FOR THE IRRIGATION ?,STOP THE IRRIGATION BEFORE 25 DAYS OF HARVESTING.
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND SOME CHANCE OF RAIN.
information regarding weather ?,"Light rain (total 6mm), mostly falling on Sun night."
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall and thunderstorms."
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND some CHANCE OF RAIN FALL TODAY.
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall and thunderstorms."
INFORMATION REGARDING RED BITTLE IN SQUASH MELON ?,SPRAY LANNED 200 ML IN 150 LITRE OF WATER PER ACRE
Information regarding weather of Amritsar?,"Some clouds, chances of light rainfall and thunderstorms."
INFORMATION REGARDING WEATHER FORECAST?,WEATHER OF patiala-SKY IS PARTLY CLOUDY AND 10-20% CHANCE TO RAINFALL TODAY.
information regarding little leaf in brijal?,spray 250-300 ml blue copper and 6ml streptocyclin in 150 liter of water/acre.
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING FOR WEATHER,TODAY CHANCES OF RAIN AND THUNDERSTORM
INFORMATION REGARDING FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI)?,"FOR THE CONTROL OF JASSID ATTACK IN OKRA(BHINDI),PLEASE SPRAY ACETAMIPRIDE-200GM IN 150LITRE WATER/ACRE."
INFORMATION REGARDING FOR WEATHER,TODAY CHANCES OF RAIN AND THUNDERSTORM
INFORMATION REGARDING FOR CONTROL OF TERMITE IN WHEAT ?,BROADCAST CHOLOPYRIPHOS @ 1 LITRE IN 20-25 KG SOIL/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF FUNGUS IN CHAPPAN KADDU ?,SPRAY BLUE COPPER @ 250 GM IN 150 LITRE WATER/ACRE.
information regarding sowing time of Ginger?,April to May.
Information regarding for tomato plant protection ?,spray bavistn 400gm in 200 liter water/acre
INFORMATION REGARDING FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF FRUIT BORER IN OKRA(BHINDI) CROP,PLS SPRAY 250ML DELTAMETHRIN IN 150LITRE WATER/ACRE."
INFORMATION REGARDING WEATHER FORECAST,TODAY THERE ARE CHANCES OF RAIN
INFORMATION REGARDING TO WEATHER?,today chances of rainfall
INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN SUGARCANE CROP?,"FOR THE CONTROL OF WEEDS IN SUGARCANE CROP-PLS SPRAY-800GM ATRAZIN 70WP+100GM SENCOR+400ML 2,4-D 58%."
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND CHANCES OF RAINFALL .
INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?,"INFORMATION REGARDING FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP?
 
 FOR THE CONTROL OF YELLOW RUST DISEASE IN WHEAT CROP,PLS SPRAY 200ML TILT (PROPICONAZOL) OR FOLICUR (TABUCONAZOL) IN 200LITRE WATER PER ACRE."
INFORMATION REGARDING WEATHER FORECAST,10% chances of rain today
INFORMATION REGARDING WEATHER FORECAST,10% chances of rain today
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN CHILLIES ?,SPRAY SIXER @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TODAY.
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP,PLS SPRAY ROKO(THIOPHRNSTE METHYL)-250GM IN 120LITRE WATER/ACRE."
INFORMATION REGARDING SOWING TIME OF GINGER ?,SOWING TIME OF GINGER IS APRAIL - MAY .
weather for today?,10% chances of rain today
information regarding dhaincha?,"variety is punjab dhaincha-1,seed rate 20kg/acreaverage yield 7-8 quintals/acre"
INFORMATION REGARDING FOR THE CONTROL OF GRAPEVINES THRIPS IN GRAPES ?,SPRAY MALATHION 50 EC @ 1 ML IN 1 LITRE WATER.
INFORMATION REGARDING FOR THE CONTROL OF DAMPING OFF DISEASE IN OKRA(BHINDI) CROP?,"FOR THE CONTROL OF DAMPING OFF DISEASE IN OKRA(BHINDI) CROP,PLEASE SPRAY-200GM BAVISTIN IN 150LITRE WATER/ACRE."
weather for today?,10% chances of rain today
INFORMATION REGARDING WEATHER FORECAST,WEATHER IS CLEARB FOR FEW DAYS IN AMRITSAR.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
Information regarding for moong varity ?,"moong varity-SML832,SML668"
informasion regarding of bilt of barseem ?,spray of avant 150ml 150lt water/ acre.
information regarding weather ?,some clouds and no chances of rainfall .
Information regarding sowing time of Ginger?,Sowing time of Ginger started from April to May.
INFORMATION REGARDING FOR THE CONTROL OF ZINC DEFICIENCY IN GUAVA ?,SPRAY ZINC SULPHATE 1 KG + 0.5 KG UNSLAKED LIME IN 100-125 LITRE WATER.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS NORMAL AND NO CHANCE OF RAIN FALL TODAY
Information regarding how to control Yellow Vein Mosaic Virus in Bhindi?,Spray 50 gm. Actara in 100 lt. of water per acre.
INFORMATION REGARDING FOR THE SEED RATE OF MAIZE?,SEED RATE OF MAIZE IS -10KG/ACRE.
INFORMATION REGARDING FOR THE CONTROL OF FUNGUS IN BERSEEM ?,SPRAY SAAF @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE STOP OF YELLOWING IN WHEAT CROP?,"FOR THE STOP OF YELLOWING IN WHEAT CROP,APPLY-3KG SULPHUR WITH 25KG UREA AFTER 1ST IRRIGATION."
information regarding weather ?,some clouds and NO chances of rainfall .
INFORMATION REGARDING TO WEATHER?,clear wather
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING CONTROL OF BLIGHT IN BARSEAM?,SPRAY SAAF @ 500 ML 100 LITERS OF WATER/ACRE.
caterpillar control in maize,pls spray alanto 200ml in 120 ltrs of water/acre
INFORMATION REGARDING CONTROL OF BLIGHT IN BARSEAM?,SPRAY SAAF @ 500 ML IN 100 LITERS OF WATER/ACRE.
THE SUITABLE SOWING TIME OF PADDY(JHONA) ?,THE SUITABLE SOWING TIME OF PADDY(JHONA) IS -NORMAL & HYBRID VARIETIES-15 TO 30MAY & BASMATI VARIETIES-FIRST WEEK OF JUNE .
INFORMATION REGARDING FOR CONTROL OF STEM ROT IN BERSEEM ?,SPRAY SAAF @ 500 GM IN 200 LITRE WATER/ACRE.
INFORMATION REGARDING FOR CONTROL OF FUNGUS IN GRAPES?,"SPRAY BAVISTIN 1 GM IN ONE LITRE WATER + 2,4-D @ 4-5 DROPS IN SPRAY PUMP."
weed control in okra?,plz spray stomp ilt in 100 ltrs of water/acre
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 100GM THIAMATHOXAM/ACRE IN 120-150LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST,WEATHER IS CLEAR FOR FEW DAYS IN AMRITSAR.
INFOMATION REGARDING CONTROL OF WEED IN MAIZE?,SPRAY OF 2-4D 58%@400ML IN 200 LITRE WATER/ACER.
information regarding weather of amritsar?,rainfall expected in next few days.
INFORMATION REGARDING FOR THE CONTROL OF ARMYWORM IN WHEAT CROP?,"FOR THE CONTROL OF ARMYWORM IN WHEAT CROP,SPRAY 400 ML QUINALPHOS 25% EC IN 100 LITRE OF WATER PER ACRE."
information regarding sugarcana?,plant fresh sugarcane seed nearby ungerminated seed.
INFORMATION REGARDING FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP?,"FOR THE CONTROL OF STEM ROT DISEASE IN BARSEEM CROP,PLS SPRAY-500GM CARBENDAZIM+MANCOZEB(SAAF) IN 150LITRE WATER."
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN WHEAT CROP?,"FOR THE CONTROL OF APHIDS IN WHEAT CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 80GM THIAMATHOXAM/ACRE IN 150LITRE WATER."
INFORMATION REGARDING FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP?,"FOR THE CONTROL OF BIHAR HAIRY CATERPILLAR & GRAM CATERPILLAR IN BARSEEM CROP,PLS SPRAY 200ML INDOXACARB 15.8%EC(AVANT) IN 100 LITRE WATER OR 50ML CHLORANTRANILIPROLE 18.5%ML(CORAGEN) IN 150LITRE WATER PER ACRE."
INFORMATION REGARDING CONTROL OF CATERPILLAR IN BARSEAM?,SPRAY CORAGEN @ 50 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING CONTROL OF STEM BORER IN SUGARCANE?,SPRAY MONOCIL 500 ML + NUVAN 100 ML IN 150 LITERS OF WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
INFORMATION REGARDING FOR CONTROL OF FRUIT BORER IN TOMATO ?,SPRAY DECIS 2.8 @ 160 ML IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING TO WEATHER?,NO CHANCES OF RAINFALL in next 5 days
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF SORGHUM(JWAR)?,"THE SUITABLE VARIETIES OF SORGHUM(JWAR)-TWO CUT-SL-44,MULTI CUT-PUNJAB SUDAX CHARI-1,HYBRID PCH-106,HYBRID PCH-109,HYBRID CHARI-615."
Information regarding varieties of Moong?,"SML-832, SML-668."
CONTROL OF EARLY BLIGHT IN TOMATO?,APPLICATION OF 600GM M-45 IN 200LT WATER/ACRE.
INFROMATION REGARDING FOR LEAF CURL IN OKRA ?,SPRAY BLUE COPPER @ 300 GM + 6 GM STREPTOMYCIN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF OKRA(BHINDI)?,"SUITABLE VARIETIES OF OKRA(BHINDI) IS-PUNJAB-8(55Q/ACRE),OH-016,OH-152,HYBRID NO.-3,HYBRID NO.-18,PUSA SAVANI.PUNJAB-7(45Q/ACRE)"
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING CONTECT NUMBER OF H.D.O AMRITSAR ?,CONTECT NUMBER OF H.D.O AMRITSAR : 9915705813 .
information regarding growth in squash melon?,spray 500gm npk(0:52:34) in 100 litre of water/acre
INFORMATION REGARDING FOR THE SPACING OF PLANT TO PLANT & ROW TO ROW IN SQUASH MELON(TINDA) CROP?,SOWING SHOULD BE DONE ON BOTH SIDES OF 1.5M. WIDE BEDS KEEPING PLANT TO PLANT DISTANCE OF 45CM IN SQUASH MELON(TINDA) CROP.
information regarding cattle pillar in tinda?,spray 400ml acqalux in 200 litre of water/acre
caterpillar control in gram?,spray ekalux 400ml in200ltrs of water
INFORMATION REGARDING TO WEATHER?,no chances of rainfall in next few days
INFORMATION REGARDING FOR THE TOTAL DOSE OF UREA IN SQUASH MELON(TINDA)?,FOR THE TOTAL DOSE OF UREA IN SQUASH MELON(TINDA)90KG/HA.
CONTROL OF EARLY SHOOT BORER IN SUGARCANE?,APPLICATION OF 10KG PADAN/ACRE. MIXED WITH 20KG MOIST SAND.
INFORMATION REGARDING TO WEATHER?,TODAY NO CHANCH OF RAIN FALL
INFORMATION REGARDING FOR THE WEATHER?,CLEAR SUNNY WEATHER FOR TODAY
INFORMATION REGARDING FOR CONTROL OF BLIGHT IN TOMATO ?,SPRAY BLUE COPPER 500 GM + 6 GM STREPTOMYCIN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS clear NO CHANCE OF RAINFALL IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP?,"FOR THE CONTROL OF LATE BLIGHT DISEASE IN TOMATO CROP,PLS SPRAY ROKO(THIOPHRNSTE METHYL)-250GM IN 120LITRE WATER/ACRE."
Information regarding how to control Caterpillars in Barseem?,Spray 200 ml. Indoxacarb 15.8% (Avaunt) in 100 lt. of water per acre.
Information regarding weather of Amritsar?,"Mostly sunny, no chance of rainfall."
information regarding weather of amritsar?,chances of showers on 13 april
INFORMATION REGARDING FOR THE CONTROL OF BORER IN BARSSEM CROP?,SPRAY CORAGEN 60ML IN 100 LTR WATER.
Information regarding how to control fruit droping in Lemon?,Spray 1 ml. Planofix in 4.5 lt. of water.
INFORMATION REGARDING WEATHER FORECAST ?,WEATHER IS clear NO CHANCE OF RAINFALL IN NEXT TWO DAYS.
INFORMATION REGARDING FOR THE CATERPILER IN BARSEEM?,APPLY AVAUNT @ 150 ML PER 200 LITRE WATER
Information regarding for wather ?,clear wather
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BOTTLEGOURD(GHIYA KADDU)?,"THE SUITABLE VARIETIES OF BOTTLEGOURD(GHIYA KADDU) IS -PUNJAB KOMAL,PUNJAB ROUND,EARLY LONG,PSPL,PUSA NAILIN,HYBRID NO.-13 & PB.-14"
INFORMATION REGARDING INSECTICIDE IN TOMATO?,COROZEN 40 ML WITH 100LTR WATER
Information regarding how to control weeds in Onion?,Only hand hoeing to control weeds in onion.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
INFORMATION REGARDING CONTROL OF BLIGHT IN TOMATO?,APPLICATION OF 600GM INDOFIL M-45 IN 200LT WATER/ACRE.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
INFORMATION REGARDING WEATHER?,FEW CHANCES OF RAIN IN NEXT FEW DAYS
CONTROL OF ROTTING IN BARSEEM?,APPLICATION OF 500GM SAAF IN 200LT WATER/ACRE.
INFORMATION REGARDING WEATHER FORECAST,"INFORMATION REGARDING WEATHER FORECAST
 
 WEATHER UPDATE: THERE ARE SOME CHANCES OF RAINFALL TODAY
 
 THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS."
information regarding fruit dropping of grapes ?,information regarding fruit dropping of grapes : spray planofix 1 ml in 4.5 litre of water
Information regarding for wather ?,clear wather
INFORMATION REGARDING WEATHER FORECAST,THERE ARE NO CHANCES OF RAIN IN NEXT FEW DAYS.
"INFORMATION REGARDING FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP?","FOR THE CONTROL OF TOP BORER & OTHER INSECTS(BLACK BUG,PYRILLA,WHITE FLY ETC.) IN SUGARCANE CROP,PLS SPRAY 150ML CORAGEN/ACRE IN 400 LITRE WATER."
Information regarding varieties of Basmati?,"Pusa Punjab Basmati-1509, Pusa-1121, Basmati-370."
HOW TO CONTROL LEAF CATERPILAR IN BARSEAM CROP ?,SPRAY TO AVAUNT (INDOXACARV 15.8%)200ML IN 150 LITER OF WATER / ACRE .
information regarding wether?,40% chances of rainfall tomorrow
INFORMATION REGARDING CHANCE OF RAINFALL TODAY?,10% CHANCE OF RAINFALL TWO DAYS.
INFORMATION REGARDING FOR CONTROL OF APHIDS IN WHEAT ?,SPRAY CONFIDOR @ 80 ML IN 125 LITRE WATER/ACRE.
INFORMATION REGARDING CONTROL OF LEAFCUARL IN KADDU?,SPRAY CONFIDOR @ 80 ML 100 LITERS OF WATER/ACRE.
information regarding varieties of paddy,"1121,1509,pusa Punjab basmati-3"
informasion regarding of life blit in tamato?,spray of 400 g saff 200 lt water/acre.
INFORMATION REGARDUING FOR THE CONTROL OF APHIDS IN TOMATO CROP?,"FOR THE CONTROL OF APHIDS IN TOMATO CROP,PLS. SPRAY IMIDA-100ML OR ACTARA-30GM/ACRE IN 120LITRE WATER."
INFORMATION REGARDING CONTROL OF CATERPILLAR IN BARSEAM?,SPRAY CORAGEN @ 50 ML IN 100 LITERS OF WATER/ACRE.
INFORMATION REGARDING WEATHER CONDITION OF AMRITSAR?,CHANCE OF 1MM RAINFALL TODAY.
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND CHANCES OF RAINFALL .
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING TO WEATHER?,no chances of rainfall in next few days
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCE OF 1MM RAINFALL TODAY.
INFORMATION REGARDING WEATHER FORECAST,THERE ARE SOME CHANCES OF RAINFALL TODAY
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
weather informasion in amritsar?,today rainfull in amritsar.
INFORMATION REGARDING TO WEATHER?,SOME CLOUDS AND CHANCES OF RAINFALL .
weather informasion in amritsar?,today rainfull chance in amritsar.
INFORMATION REGARDING FOR WEATHER,TODAY THERE ARE CHANCES OF RAIN
information regarding weather of amritsar?,chances of rainfall for few days
INFORMATION REGTARDING FOR CONTROL OF CATERPILAR IN MAIZE ?,SPRAY MONOCIL 200 ML + 100 ML NUVAN IN 150 LITRE WATER/ACRE.
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
vareities of maize?,varieties of maize pmh-2.
INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF PADDY(JHONA) ?,"SUITABLE VARIETIES OF PADDY(JHONA)-PR-121,PR-122,PR-118,PR-114,PR-111,PR-116,PR-115,PR-113,PUSA-44,HKR-47,PUSA PUNJAB BASMATI-1509,PUNJAB BASMATI-3."
INFORMATION REGARDING TO WEATHER?,SOME CHANCES OF RAIN IN NEXT 24 HOURS
INFORMATION REGARDING WEATHER OF AMRITSAR?,CHANCES OF RAINFALL FOR FEW DAYS
information regarding weather ?,some clouds and some chances of rainfall .
information regarding weather ?,some clouds and some chances of rainfall .
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT DAYS.
INFORMATION REGARDING TO WEATHER?,WEATHER IS CLOUDY AND LIGHT CHANCE OF RAIN IN NEXT TWO DAYS.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT DAYS.
INFORMATION REGARDING WEATHER CONDITION?,WEATHER CONDITION IS CLOUDY AND CHANCE OF RAIN FALL NEXT DAYS
